,ECONOMÍA ,ECONOMÍA ,,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,SOCIEDAD,SOCIEDAD,SOCIEDAD,SOCIEDAD,SOCIEDAD,SOCIEDAD
CHIH,940263.3,247938.0,,3741869.0,"130,000",5.0,3.50%,1250.8,3.18,0.79,"$344,273",95.2,7.23,0.6,"$20,363,043.98","$549,000,000",84.73,1.6,29.09%,795,67.7,,59.3,54,84,21891,78.20,44.40%,8,70.7,"26,559",7.5,21.7,74.10,,0.55,52512,3.31%,85,21.7,"2,10%",,1624198.4
CDMX,3806082.9,1479.0,,9209944.0,"20,000",28.0,0.10%,35.7,4.26,1.33,"$486,689",94,190.30,302.3,"$25,463,434.51","$34,714,411",88.16,0.34,52.72%,776,76.1,,44.3,52.3,82.7,15739,85.40,34.90%,10,68.6,"7,276",25.8,34.6,89.50,,0.28,244736,2.21%,46,34.6,"1,70%",,9529
DUR,309708.8,123181.0,,1832650.0,"55,000",1.0,1.40%,500.3,3.08,1.36,"$194,123",94.5,5.63,0.6,"$13,020,456.58","$49,998,553",85.14,2.84,18.23%,150,45.7,,58.8,50.9,81.9,15322,70.60,40.30%,9,72.4,"11,631",7.5,19.6,64.70,,0.22,16059,1.74%,65,19.6,"6,30%",,873609
GTO,1130785.4,30491.0,,6166934.0,"703,920",53.0,7.30%,2610.8,1.78,0.85,"$245,968",94.8,1.61,9,"$7,954,931.70","$76,779,554",90.07,1.72,26.62%,1185,87.5,,65.2,45.6,79.6,10889,86.10,26.30%,9,81.1,"17,703",14.5,15.9,71.70,,0.4,51921,2.37%,444,15.9,"3,20%",,236883
GRO,313712.9,64281.0,,3540685.0,"307,987",78.0,3.00%,1072.1,1.17,1.19,"$109,634",93,1.02,2.7,"$3,473,709.81","$7,144,263",48.98,2.23,23.99%,177,81,,56.9,36.2,75.2,18279,89.20,49.40%,10,58.4,"7,414",23.1,15.5,53.90,,0.45,15760,3.79%,187,15.5,"22,20%",,6107
HGO,442970.7,20813.0,,3082841.0,"140,000",24.0,0.00%,0.0,2.68,1.57,"$181,216",94.2,3.16,6.9,"$6,918,165.03","$20,664,559",76.35,2.6,26.89%,218,62.1,,58,41.8,77.8,13107,78.90,36.10%,10,65.4,"4,593",19.7,18.6,64.80,,0.18,16908,2.40%,71,18.6,"6,80%",,131667
JAL,1834577.5,80386.0,,8348151.0,"125,000",35.0,0.10%,35.7,2.06,0.92,"$358,883",95,14.68,4.1,"$10,830,648.88","$61,505,708",84.56,1.02,31.73%,124,74.6,,64.2,50,81.5,14580,84.80,42.40%,8,80.3,"14,293",12,22.3,83.30,,0.32,95399,1.82%,80,22.3,"2,10%",,680478
EDOMEX,2275497.8,21355.0,,16992418.0,"380,131",307.0,5.10%,1823.6,2.57,0.6,"$257,586",93.5,5.99,29.4,"$7,606,668.31","$39,064,806",90.7,0.48,51.88%,1336,87.3,,47.3,51.2,82.3,12031,84.60,37.50%,12,69.3,"21,105",22.3,21.4,73.40,,5.73,106347,6.89%,209,21.4,6%,,277231.3
MICH,679343.8,59928.0,,4748846.0,"227,591",22.0,2.00%,714.7,4.16,0.58,"$161,619",93.8,2.98,3.8,"$5,342,498.69","$15,386,396",68.98,1.35,19.69%,297,79.6,,52.2,39.7,76.9,12597,88.80,52.60%,11,65,"16,196",10,16.4,65.00,,0.27,34730,4.37%,145,16.4,"7,50%",,335264
MOR,265593.1,4950.0,,1971520.0,"63,686",9.0,0.80%,285.9,2.11,0.97,"$278,090",93.2,4.17,23.9,"$6,856,418.04","$10,576,025",49.87,3.55,36.28%,276,90.1,,45.8,44.9,78.5,13679,88.60,44.90%,10,61.3,"8,864",21.7,21.3,74.10,,0.5,14973,0.65%,74,21.3,"5,80%",,120616
